strategy,rule_set,windows,pass_%,fail_daily_%,fail_total_%,fail_target_%,median_days_to_pass,median_max_dd_%,leverage
4h_Supertrend_LO,Apex-style strict,340,40.3,39.4,9.4,10.9,7,-1.38,1
4h_EMA200_filter,Apex-style strict,340,43.2,34.4,5.3,17.1,7,-1.3,1
4h_Weekend,Apex-style strict,340,36.2,50.0,10.3,3.5,9,-1.14,1
4h_Turtle_LO,Apex-style strict,340,42.6,36.8,7.9,12.6,8,-1.34,1
1h_OR_Breakout_LO,Apex-style strict,340,34.1,39.1,10.9,15.9,10,-1.9,1
1h_OR_Breakout_LS,Apex-style strict,340,31.2,52.9,12.9,2.9,6,-2.0,1
1h_VolFilt_Donchian,Apex-style strict,340,44.1,42.9,9.1,3.8,8,-1.67,1
1h_VolFilt_Donchian_LO,Apex-style strict,340,37.4,40.6,9.4,12.6,8,-1.55,1
1h_Session_US,Apex-style strict,340,40.9,52.1,5.9,1.2,4,-1.47,1
1h_Weekend,Apex-style strict,340,35.6,55.3,5.6,3.5,8,-1.4,1
1h_BuyAndHold,Apex-style strict,340,37.9,56.8,4.1,1.2,4,-1.3,1
4h_BuyAndHold,Apex-style strict,340,40.3,50.3,7.4,2.1,5,-1.23,1
4h_DualMom_30_90,Apex-style strict,340,43.8,40.6,9.1,6.5,5,-0.85,2
4h_Supertrend_LO,Apex-style strict,340,35.3,51.5,10.9,2.4,4,-0.94,2
4h_EMA200_filter,Apex-style strict,340,37.6,45.0,10.3,7.1,4,-0.7,2
4h_Weekend,Apex-style strict,340,39.7,56.2,4.1,0.0,4,-0.74,2
4h_Turtle_LO,Apex-style strict,340,39.1,50.0,9.4,1.5,4,-1.31,2
1h_OR_Breakout_LO,Apex-style strict,340,41.2,46.8,9.4,2.6,4,-1.88,2
1h_OR_Breakout_LS,Apex-style strict,340,39.1,55.6,5.0,0.3,3,-1.64,2
1h_VolFilt_Donchian,Apex-style strict,340,41.2,51.2,6.8,0.9,3,-1.58,2
1h_VolFilt_Donchian_LO,Apex-style strict,340,37.4,51.8,7.1,3.8,6,-1.65,2
1h_Session_US,Apex-style strict,340,40.6,56.2,3.2,0.0,2,-1.53,2
1h_Weekend,Apex-style strict,340,38.2,61.2,0.6,0.0,4,-1.44,2
